,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
176,2010,노원구,하계2동,7972.0,953.0,1475.0,2096.0,2751.0,584.0,113.0
177,2010,노원구,중계본동,8267.0,868.0,1174.0,1980.0,3199.0,818.0,228.0
178,2010,노원구,중계1동,8637.0,717.0,1141.0,2132.0,3764.0,735.0,148.0
179,2010,노원구,중계4동,7407.0,1187.0,1645.0,1834.0,2116.0,470.0,155.0
180,2010,노원구,상계1동,14000.0,2275.0,2848.0,3398.0,4062.0,1079.0,338.0
181,2010,노원구,상계2동,7028.0,1117.0,1342.0,1742.0,2153.0,536.0,138.0
182,2010,노원구,상계5동,8245.0,1578.0,1917.0,2033.0,2047.0,520.0,150.0
183,2010,노원구,상계8동,8958.0,1182.0,2111.0,2307.0,2716.0,544.0,98.0
184,2010,노원구,상계9동,8218.0,1179.0,1794.0,2154.0,2531.0,460.0,100.0
185,2010,노원구,상계10동,7193.0,1339.0,1718.0,1787.0,1865.0,390.0,94.0
186,2010,노원구,공릉1.3동,13898.0,3177.0,3231.0,3233.0,3171.0,851.0,235.0
187,2010,노원구,상계3.4동,13494.0,2858.0,3275.0,3180.0,3022.0,881.0,278.0
188,2010,노원구,상계6.7동,12883.0,2696.0,2860.0,3094.0,3484.0,639.0,110.0
189,2010,노원구,중계2.3동,14600.0,2627.0,3529.0,3705.0,3712.0,828.0,199.0
191,2010,은평구,녹번동,12619.0,3197.0,3193.0,2830.0,2544.0,620.0,235.0
192,2010,은평구,불광1동,12416.0,2411.0,3040.0,3047.0,2942.0,754.0,222.0
193,2010,은평구,갈현1동,8381.0,1548.0,1943.0,2128.0,2074.0,515.0,173.0
194,2010,은평구,갈현2동,8608.0,1320.0,1949.0,2176.0,2267.0,642.0,254.0
195,2010,은평구,구산동,9641.0,1339.0,2066.0,2552.0,2654.0,733.0,297.0
196,2010,은평구,대조동,10705.0,2583.0,2658.0,2470.0,2149.0,640.0,205.0
197,2010,은평구,응암1동,10764.0,2640.0,2525.0,2446.0,2326.0,627.0,200.0
198,2010,은평구,응암2동,6731.0,1666.0,1643.0,1463.0,1421.0,409.0,129.0
199,2010,은평구,신사1동,8681.0,1383.0,1936.0,2302.0,2208.0,659.0,193.0
200,2010,은평구,신사2동,7372.0,1194.0,1576.0,1939.0,1991.0,523.0,149.0
201,2010,은평구,증산동,6889.0,1126.0,1539.0,1731.0,1838.0,471.0,184.0
202,2010,은평구,수색동,6880.0,1373.0,1714.0,1654.0,1531.0,438.0,170.0
203,2010,은평구,진관동,10814.0,858.0,2060.0,2883.0,3428.0,1166.0,419.0
204,2010,은평구,불광2동,10461.0,2420.0,2573.0,2411.0,2271.0,584.0,202.0
205,2010,은평구,응암3동,9295.0,2205.0,2280.0,2115.0,1966.0,564.0,165.0
206,2010,은평구,역촌동,14666.0,2532.0,3358.0,3699.0,3671.0,1023.0,383.0
208,2010,서대문구,천연동,6915.0,1501.0,1703.0,1624.0,1570.0,402.0,115.0
209,2010,서대문구,홍제1동,9469.0,2037.0,2327.0,2187.0,2128.0,580.0,210.0
210,2010,서대문구,홍제3동,7031.0,1552.0,1715.0,1627.0,1575.0,399.0,163.0
211,2010,서대문구,홍제2동,5300.0,912.0,1288.0,1303.0,1335.0,355.0,107.0
212,2010,서대문구,홍은1동,8606.0,1538.0,1955.0,2082.0,2250.0,571.0,210.0
213,2010,서대문구,홍은2동,9767.0,2035.0,2262.0,2268.0,2287.0,651.0,264.0
214,2010,서대문구,남가좌1동,1133.0,268.0,265.0,225.0,279.0,78.0,18.0
215,2010,서대문구,남가좌2동,10815.0,2593.0,2511.0,2352.0,2481.0,641.0,237.0
216,2010,서대문구,북가좌1동,3230.0,433.0,805.0,780.0,864.0,250.0,98.0
217,2010,서대문구,북가좌2동,11352.0,1965.0,2558.0,2855.0,2856.0,834.0,284.0
218,2010,서대문구,충현동,8695.0,2684.0,2005.0,1719.0,1642.0,493.0,152.0
219,2010,서대문구,북아현동,5558.0,1545.0,1392.0,1189.0,1085.0,278.0,69.0
220,2010,서대문구,신촌동,8889.0,5225.0,1633.0,867.0,781.0,288.0,95.0
221,2010,서대문구,연희동,15941.0,5655.0,3407.0,2873.0,2813.0,871.0,322.0
223,2010,마포구,용강동,7692.0,2057.0,1811.0,1654.0,1656.0,387.0,127.0
224,2010,마포구,대흥동,7795.0,4295.0,1752.0,878.0,633.0,180.0,57.0
225,2010,마포구,염리동,6991.0,2201.0,1830.0,1396.0,1142.0,325.0,97.0
226,2010,마포구,신수동,7951.0,1892.0,1856.0,1822.0,1759.0,471.0,151.0
227,2010,마포구,서교동,14331.0,7484.0,3125.0,1761.0,1395.0,420.0,146.0
228,2010,마포구,합정동,7398.0,2065.0,2038.0,1513.0,1338.0,340.0,104.0
229,2010,마포구,망원1동,8593.0,2169.0,2173.0,1860.0,1736.0,485.0,170.0
230,2010,마포구,망원2동,7040.0,1277.0,1625.0,1766.0,1764.0,466.0,142.0
231,2010,마포구,연남동,7307.0,2248.0,1883.0,1500.0,1180.0,361.0,135.0
232,2010,마포구,성산1동,7181.0,1754.0,1682.0,1594.0,1584.0,409.0,158.0
233,2010,마포구,성산2동,13521.0,2206.0,3233.0,3373.0,3618.0,865.0,226.0
234,2010,마포구,상암동,8363.0,1025.0,1737.0,2161.0,2574.0,693.0,173.0
235,2010,마포구,도화동,7960.0,1725.0,1935.0,1929.0,1750.0,477.0,144.0
236,2010,마포구,서강동,10452.0,3543.0,2315.0,2044.0,1919.0,479.0,152.0
237,2010,마포구,공덕동,12605.0,3475.0,2954.0,2760.0,2567.0,645.0,204.0
238,2010,마포구,아현동,6222.0,1693.0,1585.0,1307.0,1227.0,320.0,90.0
240,2010,양천구,목1동,9463.0,855.0,1507.0,2576.0,3643.0,710.0,172.0
241,2010,양천구,목2동,9934.0,1756.0,2075.0,2454.0,2732.0,722.0,195.0
242,2010,양천구,목3동,7466.0,1472.0,1563.0,1913.0,1898.0,482.0,138.0
243,2010,양천구,목4동,8445.0,1255.0,1397.0,2004.0,2886.0,706.0,197.0
244,2010,양천구,신월1동,8574.0,2110.0,1984.0,1950.0,1862.0,517.0,151.0
245,2010,양천구,신월2동,6418.0,948.0,1289.0,1705.0,1813.0,508.0,155.0
246,2010,양천구,신월3동,6649.0,1884.0,1573.0,1401.0,1326.0,354.0,111.0
247,2010,양천구,신월4동,5636.0,587.0,1166.0,1479.0,1735.0,508.0,161.0
248,2010,양천구,신월5동,5063.0,887.0,1117.0,1272.0,1285.0,393.0,109.0
249,2010,양천구,신월6동,4372.0,723.0,904.0,1052.0,1248.0,355.0,90.0
250,2010,양천구,신월7동,8388.0,1215.0,2014.0,2208.0,2246.0,554.0,151.0
251,2010,양천구,신정1동,7262.0,1208.0,1276.0,1561.0,2485.0,594.0,138.0
252,2010,양천구,신정2동,6553.0,748.0,1023.0,1602.0,2446.0,604.0,130.0
253,2010,양천구,신정3동,15926.0,3037.0,3392.0,3876.0,4358.0,985.0,278.0
254,2010,양천구,신정6동,7711.0,591.0,1145.0,2054.0,3163.0,615.0,143.0
255,2010,양천구,신정7동,10718.0,1722.0,2196.0,2644.0,3299.0,681.0,176.0
256,2010,양천구,목5동,12954.0,1170.0,1774.0,3322.0,5409.0,1055.0,224.0
257,2010,양천구,신정4동,12707.0,3050.0,3045.0,2950.0,2680.0,765.0,217.0
259,2010,강서구,염창동,12307.0,1123.0,2048.0,3437.0,4428.0,1024.0,247.0
260,2010,강서구,등촌1동,7853.0,2295.0,1622.0,1603.0,1805.0,414.0,114.0
261,2010,강서구,등촌2동,7001.0,993.0,1429.0,1869.0,2055.0,503.0,152.0
