기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,동작구,사당3동,8843,2136,2360,2034,1762,428,100,23
2015,동작구,사당4동,5907,1713,1650,1276,997,223,39,9
2015,동작구,사당5동,5257,1524,1363,1190,880,238,51,11
2015,동작구,대방동,14460,4042,3270,3056,3140,750,162,40
2015,동작구,신대방1동,9009,2296,2045,2032,2003,508,98,27
2015,동작구,신대방2동,7944,2431,1810,1653,1542,393,88,27
2015,동작구,흑석동,14705,5630,3213,2794,2321,551,156,40
2015,동작구,노량진1동,16295,7270,3327,2728,2261,553,122,34
2015,동작구,사당2동,11142,2706,3117,2717,1991,467,108,36
2015,관악구,소계,228636,100302,51894,37713,29232,7290,1709,496
2015,관악구,보라매동,10455,3576,2672,2094,1583,412,94,24
2015,관악구,청림동,6070,1284,1611,1583,1234,255,85,18
2015,관악구,행운동,14676,7456,3242,1977,1511,352,113,25
2015,관악구,낙성대동,9262,5449,1765,1064,717,209,43,15
2015,관악구,중앙동,7341,3767,1659,961,701,203,38,12
2015,관악구,인헌동,12839,5732,2897,2040,1666,383,97,24
2015,관악구,남현동,7705,2917,2038,1385,1055,247,48,15
2015,관악구,서원동,11642,5836,2686,1716,1068,256,59,21
2015,관악구,신원동,8518,3605,2214,1437,967,222,51,22
2015,관악구,서림동,12620,7016,2376,1627,1174,316,90,21
2015,관악구,신사동,11160,5321,2452,1696,1288,308,70,25
2015,관악구,신림동,12726,9098,2181,812,484,123,25,X
2015,관악구,난향동,5818,1090,1496,1453,1316,364,75,24
2015,관악구,조원동,8297,3927,1975,1199,906,230,41,19
2015,관악구,대학동,13540,8984,1989,1288,965,239,57,18
2015,관악구,은천동,13963,4181,3498,3058,2483,563,141,39
2015,관악구,성현동,11871,2400,3105,2920,2642,624,137,43
2015,관악구,청룡동,15766,9221,3042,1763,1278,366,76,20
2015,관악구,난곡동,11627,3364,3050,2595,1965,500,116,37
2015,관악구,삼성동,10327,2736,2809,2282,1851,492,133,24
2015,관악구,미성동,12413,3342,3137,2763,2378,626,120,47
2015,서초구,소계,154031,37496,37093,35934,32829,8255,1828,596
2015,서초구,서초1동,8025,2678,1892,1659,1335,336,85,40
2015,서초구,서초2동,7466,1902,1857,1793,1465,350,75,24
2015,서초구,서초3동,10743,3095,2748,2293,1910,517,134,46
2015,서초구,서초4동,8834,1277,1896,2388,2580,549,109,35
2015,서초구,잠원동,12096,3127,2912,2814,2607,503,100,33
2015,서초구,반포본동,3717,265,841,1077,1195,263,61,15
2015,서초구,반포1동,12166,4826,2333,2200,2121,515,128,43
2015,서초구,반포2동,5592,499,1127,1595,1779,461,99,32
2015,서초구,반포3동,6356,759,1430,1850,1853,393,58,13
2015,서초구,반포4동,6476,1079,1590,1766,1578,359,82,22
2015,서초구,방배본동,7141,1475,1606,1704,1778,427,109,42
2015,서초구,방배1동,6480,1914,1693,1430,1094,265,60,24
2015,서초구,방배2동,10111,2594,2689,2272,1961,464,96,35
2015,서초구,방배3동,7866,1359,2079,2102,1775,435,91,25
2015,서초구,방배4동,9295,2407,2288,2157,1830,480,97,36
2015,서초구,양재1동,16182,3689,4066,3523,3342,1202,279,81
2015,서초구,양재2동,9402,3428,2371,1721,1399,388,81,14
2015,서초구,내곡동,6083,1123,1675,1590,1227,348,84,36
2015,강남구,소계,211357,61897,51614,45477,40514,9322,1974,559
2015,강남구,신사동,6861,2074,1857,1450,1132,274,55,19
2015,강남구,논현1동,12205,6419,3068,1440,944,248,66,20
2015,강남구,논현2동,9983,4063,2681,1710,1139,299,72,19
2015,강남구,삼성1동,5137,1142,1332,1279,1063,236,65,20
2015,강남구,삼성2동,11587,3659,2724,2409,2206,465,94,30
2015,강남구,대치1동,5857,288,964,1734,2253,505,89,24
2015,강남구,대치4동,9166,3779,2238,1542,1251,282,64,10
2015,강남구,역삼1동,18741,10553,4542,2041,1155,336,87,27
2015,강남구,역삼2동,12666,3771,2754,2750,2695,554,108,34
2015,강남구,도곡1동,7581,1651,1727,1914,1812,353,97,27
2015,강남구,도곡2동,10835,1435,2586,3154,2891,619,127,23
2015,강남구,개포1동,7716,1748,2067,1861,1621,351,57,11
2015,강남구,개포4동,8254,2408,2041,1818,1517,387,69,14
2015,강남구,일원본동,7571,908,1612,2067,2360,492,97,35
2015,강남구,일원1동,6856,2186,1785,1407,1110,285,65,18
2015,강남구,일원2동,6168,1511,1731,1473,1188,215,39,11
2015,강남구,수서동,6948,2412,2340,1313,697,146,28,12
2015,강남구,세곡동,14422,3573,3183,3004,3131,1142,307,82
2015,강남구,압구정동,9321,1773,2665,2451,1843,445,109,35
2015,강남구,청담동,10797,2806,2746,2562,2061,478,102,42
2015,강남구,대치2동,12604,1544,2465,3588,4102,756,114,35
2015,강남구,개포2동,10081,2194,2506,2510,2343,454,63,11
2015,송파구,소계,230941,53481,55654,55334,51635,11717,2449,671
2015,송파구,풍납1동,6859,2047,1744,1504,1163,305,68,28
2015,송파구,풍납2동,9695,2360,2263,2365,2155,413,111,28
2015,송파구,거여1동,5162,1140,1197,1206,1206,326,72,15
2015,송파구,거여2동,9169,2198,2469,2121,1842,418,95,26
2015,송파구,마천1동,8211,2038,2140,1826,1597,477,104,29
2015,송파구,마천2동,7608,1726,2090,1778,1529,372,90,23
2015,송파구,방이1동,5440,1065,1233,1320,1386,324,92,20
