,기간,자치구,동,세대,계_계,계_남,계_여,한국인_계,한국인_남,한국인_여,외국인_계,외국인_남,외국인_여,세대당인구,65세이상고령자
175,2008,도봉구,도봉1동,"10,699","26,128","13,225","12,903","25,742","13,082","12,660",386,143,243,2.41,"3,156"
176,2008,도봉구,도봉2동,"12,189","32,920","16,392","16,528","32,837","16,370","16,467",83,22,61,2.69,"3,600"
177,2008,노원구,소계,"225,065","620,808","304,068","316,740","615,981","301,982","313,999","4,827","2,086","2,741",2.74,"52,938"
178,2008,노원구,월계1동,"6,944","19,475","9,683","9,792","18,591","9,284","9,307",884,399,485,2.68,"1,715"
179,2008,노원구,월계2동,"10,677","28,070","13,645","14,425","27,951","13,597","14,354",119,48,71,2.62,"2,799"
180,2008,노원구,월계3동,"9,787","27,695","13,682","14,013","27,657","13,669","13,988",38,13,25,2.83,"2,219"
181,2008,노원구,월계4동,"8,770","20,640","10,309","10,331","20,458","10,242","10,216",182,67,115,2.33,"2,430"
182,2008,노원구,공릉2동,"16,610","47,194","23,449","23,745","46,779","23,260","23,519",415,189,226,2.82,"3,260"
183,2008,노원구,하계1동,"11,490","31,829","15,410","16,419","31,625","15,306","16,319",204,104,100,2.75,"2,916"
184,2008,노원구,하계2동,"8,906","26,888","13,125","13,763","26,850","13,110","13,740",38,15,23,3.01,"2,061"
185,2008,노원구,중계본동,"10,202","31,418","15,514","15,904","30,891","15,266","15,625",527,248,279,3.03,"2,155"
186,2008,노원구,중계1동,"9,997","31,860","15,647","16,213","31,794","15,621","16,173",66,26,40,3.18,"1,839"
187,2008,노원구,중계2동,"6,578","18,860","9,035","9,825","18,844","9,029","9,815",16,6,10,2.86,"1,656"
188,2008,노원구,중계3동,"9,256","25,078","11,835","13,243","24,966","11,784","13,182",112,51,61,2.7,"3,181"
189,2008,노원구,중계4동,"8,593","24,615","11,966","12,649","23,903","11,675","12,228",712,291,421,2.78,"2,270"
190,2008,노원구,상계1동,"14,330","41,126","20,394","20,732","40,988","20,341","20,647",138,53,85,2.86,"3,567"
191,2008,노원구,상계2동,"8,392","22,854","11,327","11,527","22,762","11,290","11,472",92,37,55,2.71,"1,929"
192,2008,노원구,상계5동,"9,356","25,128","12,314","12,814","25,002","12,270","12,732",126,44,82,2.67,"2,366"
193,2008,노원구,상계8동,"9,492","27,556","13,379","14,177","27,527","13,373","14,154",29,6,23,2.9,"1,884"
194,2008,노원구,상계9동,"9,312","26,058","12,743","13,315","26,010","12,727","13,283",48,16,32,2.79,"1,932"
195,2008,노원구,상계10동,"8,226","21,589","10,295","11,294","21,557","10,285","11,272",32,10,22,2.62,"1,637"
196,2008,노원구,공릉1.3동,"16,360","42,041","20,650","21,391","41,267","20,292","20,975",774,358,416,2.52,"3,334"
197,2008,노원구,상계3.4동,"16,966","42,371","21,393","20,978","42,208","21,342","20,866",163,51,112,2.49,"4,846"
198,2008,노원구,상계6.7동,"14,821","38,463","18,273","20,190","38,351","18,219","20,132",112,54,58,2.59,"2,942"
199,2008,은평구,소계,"182,762","463,364","228,740","234,624","458,401","226,636","231,765","4,963","2,104","2,859",2.51,"46,002"
200,2008,은평구,녹번동,"15,583","36,907","18,012","18,895","36,380","17,772","18,608",527,240,287,2.33,"3,854"
201,2008,은평구,불광1동,"14,807","36,353","17,780","18,573","35,841","17,538","18,303",512,242,270,2.42,"3,887"
202,2008,은평구,갈현1동,"10,798","27,489","13,585","13,904","27,135","13,451","13,684",354,134,220,2.51,"2,533"
203,2008,은평구,갈현2동,"10,621","27,892","13,572","14,320","27,681","13,484","14,197",211,88,123,2.61,"2,572"
204,2008,은평구,구산동,"11,268","33,072","17,074","15,998","32,908","17,015","15,893",164,59,105,2.92,"3,286"
205,2008,은평구,대조동,"13,316","31,952","15,360","16,592","31,570","15,188","16,382",382,172,210,2.37,"3,353"
206,2008,은평구,응암1동,"13,749","33,993","16,641","17,352","33,300","16,363","16,937",693,278,415,2.42,"3,223"
207,2008,은평구,응암2동,"9,178","21,533","10,736","10,797","21,367","10,677","10,690",166,59,107,2.33,"2,330"
208,2008,은평구,신사1동,"10,278","27,770","13,677","14,093","27,309","13,458","13,851",461,219,242,2.66,"2,432"
209,2008,은평구,신사2동,"9,326","24,642","12,553","12,089","24,557","12,522","12,035",85,31,54,2.63,"2,095"
210,2008,은평구,증산동,"8,645","22,327","11,137","11,190","22,142","11,071","11,071",185,66,119,2.56,"2,155"
211,2008,은평구,수색동,"8,482","21,189","10,522","10,667","20,909","10,410","10,499",280,112,168,2.47,"2,424"
212,2008,은평구,진관동,"3,730","10,841","5,338","5,503","10,783","5,316","5,467",58,22,36,2.89,"1,096"
213,2008,은평구,불광2동,"13,458","32,583","16,153","16,430","32,374","16,074","16,300",209,79,130,2.41,"3,442"
214,2008,은평구,응암3동,"11,606","28,204","14,031","14,173","28,038","13,970","14,068",166,61,105,2.42,"3,155"
215,2008,은평구,역촌동,"17,917","46,617","22,569","24,048","46,107","22,327","23,780",510,242,268,2.57,"4,165"
216,2008,서대문구,소계,"138,295","340,731","166,432","174,299","331,688","162,350","169,338","9,043","4,082","4,961",2.4,"36,342"
217,2008,서대문구,천연동,"7,820","19,132","9,358","9,774","18,910","9,259","9,651",222,99,123,2.42,"2,239"
218,2008,서대문구,홍제1동,"11,489","29,233","14,109","15,124","28,598","13,813","14,785",635,296,339,2.49,"3,221"
219,2008,서대문구,홍제3동,"8,348","20,950","10,231","10,719","20,821","10,181","10,640",129,50,79,2.49,"2,483"
220,2008,서대문구,홍제2동,"6,079","16,325","7,888","8,437","16,254","7,862","8,392",71,26,45,2.67,"1,680"
221,2008,서대문구,홍은1동,"11,186","29,452","14,586","14,866","28,850","14,314","14,536",602,272,330,2.58,"3,335"
222,2008,서대문구,홍은2동,"11,468","29,667","14,602","15,065","29,413","14,489","14,924",254,113,141,2.56,"3,091"
223,2008,서대문구,남가좌1동,"3,244","7,451","3,783","3,668","6,907","3,537","3,370",544,246,298,2.13,809
224,2008,서대문구,남가좌2동,"12,488","31,360","15,425","15,935","31,172","15,343","15,829",188,82,106,2.5,"3,276"
225,2008,서대문구,북가좌1동,"4,534","11,764","5,896","5,868","11,475","5,784","5,691",289,112,177,2.53,"1,164"
226,2008,서대문구,북가좌2동,"13,181","34,478","17,025","17,453","34,380","16,984","17,396",98,41,57,2.61,"3,424"
