2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan),필동3가 (nan)
입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan),입정동 (nan)
남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan),남대문로2가 (nan)
충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan),충무로3가 (nan)
을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan),을지로4가 (nan)
예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan),예관동 (nan)
오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan),오장동 (nan)
인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan),인현동2가 (nan)
남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan),남대문로3가 (nan)
만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan),만리동1가 (nan)
산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan),산림동 (nan)
저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan),저동1가 (nan)
만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan),만리동2가 (nan)
흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan),흥인동 (nan)
광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan),광희동1가 (nan)
예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan),예장동 (nan)
을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan),을지로1가 (nan)
장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan),장교동 (nan)
장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan),장충동1가 (nan)
정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan),정동 (nan)
남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan),남산동3가 (nan)
묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan),묵정동 (nan)
봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan),봉래동1가 (nan)
충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan),충정로1가 (nan)
회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan),회현동3가 (nan)
개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan),개봉동 (nan)
구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan),구로동 (nan)
천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan),천왕동 (nan)
온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan),온수동 (nan)
신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan),신도림동 (nan)
오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan),오류동 (nan)
고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan),고척동 (nan)
가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan),가리봉동 (nan)
궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan),궁동 (nan)
항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan),항동 (nan)
