,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
348,안암동3가 (5),필동1가 (7),천연동 (10),봉래동1가 (13),청파동1가 (15),저동1가 (18),구수동 (20),동소문동1가 (23),중학동 (27),성북동1가 (31),교남동 (38),저동1가 (40)
349,인현동2가 (5),인현동1가 (7),현석동 (9),양평동6가 (13),무학동 (15),오장동 (18),저동1가 (20),봉익동 (23),원효로4가 (27),신영동 (30),동소문동1가 (38),무악동 (40)
350,원효로3가 (5),율현동 (7),공평동 (9),충무로5가 (13),동빙고동 (15),교남동 (17),봉래동1가 (19),동소문동4가 (23),견지동 (27),옥인동 (30),견지동 (38),원남동 (39)
351,장교동 (5),묵정동 (6),문배동 (9),원남동 (12),수하동 (15),명륜1가 (17),동빙고동 (19),원남동 (22),누하동 (27),원효로4가 (30),문래동5가 (37),화동 (39)
352,교남동 (5),체부동 (6),종로4가 (9),장충동1가 (12),종로4가 (15),견지동 (17),교남동 (19),구수동 (22),신영동 (27),율현동 (29),가회동 (36),교남동 (38)
353,장충동1가 (4),홍지동 (6),초동 (9),체부동 (12),남대문로4가 (15),남대문로4가 (17),nan (19),성북동1가 (22),동빙고동 (26),원지동 (29),동선동5가 (35),견지동 (38)
354,합동 (4),종로4가 (6),충무로5가 (9),nan (12),체부동 (15),종로4가 (16),보문동2가 (18),영등포동1가 (22),화동 (26),문래동5가 (28),와룡동 (35),보문동2가 (37)
355,홍지동 (4),서린동 (6),장충동1가 (9),동선동5가 (12),사근동 (15),봉익동 (16),을지로4가 (18),신영동 (22),nan (25),동선동5가 (28),옥인동 (34),가회동 (36)
356,태평로1가 (4),무학동 (6),정동 (9),종로4가 (12),원남동 (14),을지로4가 (16),종로4가 (18),옥인동 (21),동소문동4가 (25),동소문동4가 (28),동소문동4가 (34),와룡동 (35)
357,와룡동 (4),남대문로2가 (6),오장동 (9),원효로4가 (11),양평동6가 (14),천왕동 (15),율현동 (17),을지로4가 (21),봉익동 (25),화동 (28),신영동 (33),안암동1가 (35)
358,계동 (4),남대문로4가 (6),장교동 (8),명륜1가 (11),nan (13),율현동 (15),익선동 (17),보문동5가 (21),장충동1가 (25),와룡동 (27),천왕동 (33),옥인동 (34)
359,정동 (4),쌍림동 (6),인현동2가 (8),보문동4가 (10),만리동2가 (13),공평동 (15),동선동5가 (17),원서동 (21),옥인동 (25),보문동5가 (26),동빙고동 (33),을지로4가 (33)
