area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
명동2가,28.0,47.0,75.0,93.0,105.0,119.0,139.0,171.0,189.0,195.0,226.0,226.0
북창동,10.0,14.0,22.0,28.0,36.0,46.0,65.0,78.0,92.0,101.0,121.0,121.0
쌍림동,5.0,6.0,8.0,10.0,23.0,21.0,34.0,36.0,37.0,39.0,62.0,62.0
초동,3.0,5.0,9.0,18.0,25.0,30.0,37.0,47.0,57.0,69.0,95.0,95.0
충무로2가,13.0,28.0,45.0,51.0,62.0,64.0,78.0,92.0,93.0,109.0,126.0,126.0
수표동,2.0,6.0,5.0,7.0,9.0,13.0,23.0,29.0,40.0,52.0,54.0,54.0
충무로4가,5.0,14.0,20.0,29.0,44.0,57.0,65.0,78.0,95.0,100.0,103.0,103.0
방산동,0.0,0.0,2.0,4.0,3.0,4.0,4.0,4.0,8.0,9.0,10.0,10.0
주자동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0
남대문로5가,18.0,33.0,56.0,81.0,103.0,108.0,130.0,143.0,169.0,176.0,246.0,246.0
장충동2가,19.0,24.0,32.0,37.0,53.0,60.0,70.0,88.0,97.0,117.0,143.0,143.0
태평로1가,4.0,10.0,11.0,18.0,25.0,27.0,35.0,41.0,68.0,68.0,92.0,92.0
순화동,14.0,27.0,32.0,31.0,30.0,36.0,41.0,55.0,68.0,76.0,103.0,103.0
남산동2가,10.0,11.0,22.0,24.0,28.0,26.0,26.0,39.0,42.0,55.0,63.0,63.0
무교동,7.0,18.0,26.0,32.0,40.0,43.0,49.0,60.0,59.0,67.0,82.0,82.0
회현동2가,3.0,4.0,4.0,17.0,20.0,24.0,25.0,28.0,31.0,39.0,41.0,41.0
저동2가,9.0,12.0,13.0,16.0,21.0,26.0,29.0,41.0,47.0,56.0,67.0,67.0
필동2가,7.0,19.0,29.0,39.0,51.0,57.0,66.0,80.0,88.0,101.0,127.0,127.0
봉래동2가,0.0,1.0,6.0,11.0,12.0,16.0,36.0,18.0,19.0,130.0,32.0,32.0
회현동1가,9.0,22.0,25.0,28.0,39.0,44.0,52.0,60.0,78.0,94.0,123.0,123.0
황학동,25.0,31.0,46.0,65.0,83.0,109.0,129.0,160.0,193.0,202.0,245.0,245.0
인현동1가,6.0,7.0,10.0,9.0,11.0,14.0,14.0,18.0,24.0,26.0,30.0,30.0
다동,16.0,23.0,30.0,34.0,54.0,66.0,75.0,94.0,116.0,135.0,172.0,172.0
태평로2가,10.0,18.0,24.0,29.0,41.0,47.0,56.0,54.0,62.0,85.0,128.0,128.0
을지로3가,3.0,4.0,8.0,13.0,22.0,26.0,37.0,53.0,63.0,77.0,104.0,104.0
명동1가,6.0,12.0,21.0,30.0,36.0,38.0,44.0,59.0,67.0,88.0,97.0,97.0
필동1가,4.0,7.0,15.0,21.0,24.0,25.0,33.0,39.0,42.0,52.0,62.0,62.0
남대문로4가,3.0,6.0,8.0,14.0,15.0,17.0,22.0,24.0,30.0,35.0,42.0,42.0
서소문동,5.0,20.0,27.0,40.0,50.0,62.0,77.0,91.0,109.0,125.0,144.0,144.0
필동3가,4.0,6.0,11.0,18.0,25.0,30.0,37.0,42.0,50.0,57.0,69.0,69.0
입정동,2.0,2.0,2.0,3.0,6.0,6.0,7.0,8.0,9.0,11.0,14.0,14.0
남대문로2가,4.0,6.0,6.0,5.0,10.0,8.0,12.0,15.0,17.0,19.0,26.0,26.0
충무로3가,7.0,14.0,27.0,34.0,47.0,59.0,62.0,74.0,82.0,90.0,111.0,111.0
을지로4가,2.0,7.0,8.0,10.0,12.0,16.0,18.0,21.0,24.0,26.0,33.0,33.0
예관동,4.0,4.0,3.0,5.0,6.0,5.0,7.0,8.0,9.0,11.0,12.0,12.0
오장동,6.0,7.0,9.0,14.0,16.0,18.0,21.0,27.0,37.0,44.0,50.0,50.0
인현동2가,5.0,6.0,8.0,16.0,22.0,26.0,27.0,29.0,35.0,38.0,44.0,44.0
남대문로3가,2.0,4.0,5.0,8.0,9.0,12.0,15.0,18.0,22.0,24.0,31.0,31.0
만리동1가,3.0,5.0,6.0,6.0,6.0,6.0,8.0,11.0,11.0,13.0,23.0,23.0
산림동,3.0,3.0,3.0,4.0,6.0,8.0,9.0,10.0,10.0,13.0,15.0,15.0
저동1가,6.0,13.0,13.0,14.0,16.0,18.0,20.0,18.0,19.0,17.0,40.0,40.0
만리동2가,6.0,9.0,14.0,16.0,13.0,9.0,8.0,9.0,5.0,6.0,14.0,14.0
흥인동,7.0,17.0,17.0,20.0,20.0,28.0,37.0,38.0,48.0,57.0,84.0,84.0
광희동1가,10.0,14.0,22.0,29.0,46.0,58.0,61.0,71.0,78.0,86.0,95.0,95.0
예장동,1.0,4.0,6.0,6.0,7.0,6.0,10.0,9.0,10.0,18.0,22.0,22.0
을지로1가,3.0,7.0,10.0,17.0,21.0,30.0,33.0,34.0,40.0,51.0,62.0,62.0
장교동,5.0,5.0,8.0,8.0,10.0,8.0,14.0,15.0,17.0,17.0,19.0,19.0
장충동1가,4.0,8.0,9.0,12.0,12.0,15.0,17.0,23.0,25.0,26.0,31.0,31.0
정동,4.0,5.0,9.0,18.0,29.0,33.0,42.0,53.0,61.0,67.0,72.0,72.0
남산동3가,1.0,2.0,2.0,3.0,4.0,6.0,7.0,7.0,9.0,11.0,12.0,12.0
묵정동,4.0,6.0,4.0,6.0,7.0,8.0,11.0,11.0,11.0,16.0,19.0,19.0
