GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1978203246454618889800000000,1132010500100240008,1132010500,서울특별시 도봉구 쌍문동,1,일반,24-8,594,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.78,86.15,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,1,1,,1978-10-19,2018-07-06
1985203203124619630100000000,1132010500100250001,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-1,595,1,일반건축물,2,일반건축물대방,,,0,주건축물,196.02,95.22,228.1,97.15,48.58,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.95,2,1,1985-08-09,1985-12-04,2018-07-06
2002203188964619553200000000,1132010500100250003,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-3,4180,2,집합건축물,3,표제부,동성파크빌101동,,0,주건축물,191,109.97,421.08,205.29,57.58,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,11.4,4,0,2001-08-30,2002-03-13,2018-07-06
1971203168794619389000000000,1132010500100250005,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-5,596,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,53.62,53.62,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1971-12-25,2018-07-06
1994203121814619004400000000,1132010500100250007,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-7,597,1,일반건축물,2,일반건축물대방,,,0,주건축물,160.99,96.43,359.75,170.8,59.9,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,10.85,3,1,1994-07-06,1994-11-25,2018-07-06
1993203218864619497800000000,1132010500100250009,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-9,598,1,일반건축물,2,일반건축물대방,,,0,주건축물,208.4,100.7,407.56,148.69,48.32,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.2,3,1,1992-10-05,1993-02-08,2018-07-06
1993203207354619442800000000,1132010500100250012,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-12,599,1,일반건축물,2,일반건축물대방,,,0,주건축물,190.14,113.72,428.52,169.63,59.81,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.9,3,1,1993-01-21,1993-08-13,2018-07-06
1997203196404619368300000000,1132010500100250013,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-13,600,1,일반건축물,2,일반건축물대방,,,0,주건축물,190.13,109.05,410.48,160.57,57.36,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.2,3,1,1997-01-08,1997-11-13,2018-07-06
1988203161464619333300000000,1132010500100250015,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-15,601,1,일반건축물,2,일반건축물대방,,,0,주건축물,147.42,71.8,213.32,93.94,48.7,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.5,2,1,1988-05-10,1988-08-26,2018-07-06
1974203247914619186100000000,1132010500100250018,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-18,604,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,59.37,118.74,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,0,,1974-09-17,2018-07-06
1974203248854619047300000000,1132010500100250019,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-19,605,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,62.71,125.42,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,0,,1974-09-17,2018-07-06
2002203224014619101400000000,1132010500100250020,1132010500,서울특별시 도봉구 쌍문동,1,일반,25-20,4181,2,집합건축물,3,표제부,수정그랜드빌,,0,주건축물,265,138.84,659.86,198.28,52.39,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.9,4,1,2002-01-14,2002-06-10,2018-07-06
