area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
현석동,8,7,9,9,10,11,3,5,6,9,14,15
구수동,14,15,14,15,21,24,20,22,32,35,43,52
토정동,2,2,3,4,5,6,6,6,8,11,11,11
당인동,1,1,1,1,2,4,5,8,10,12,16,17
방배동,812,803,774,834,914,986,1104,1268,1405,1564,1754,1997
서초동,1237,1272,1351,1477,1619,1819,2033,2297,2528,2854,3278,3841
반포동,610,657,711,789,814,903,982,1095,1182,1317,1527,1699
양재동,607,620,623,706,777,846,945,1050,1163,1324,1486,1697
잠원동,335,365,379,410,428,452,502,566,618,665,768,885
우면동,46,51,55,55,58,62,86,106,134,157,181,207
신원동,22,26,26,28,28,22,21,29,37,63,76,89
염곡동,6,4,4,2,2,3,4,7,5,6,13,13
원지동,26,26,23,24,27,31,31,32,29,29,41,45
내곡동,25,24,24,24,23,29,29,28,33,39,41,46
연희동,174,186,203,220,262,271,305,342,396,438,507,593
홍제동,299,308,342,366,400,421,442,487,507,581,609,686
창천동,422,470,517,577,640,681,752,867,961,1101,1256,1454
충정로3가,73,71,67,76,83,90,104,120,130,153,172,194
북가좌동,211,196,192,196,193,201,232,254,301,330,381,455
대현동,238,272,284,303,316,337,369,406,399,450,463,524
남가좌동,499,440,422,428,466,465,489,507,530,575,625,684
충정로2가,49,47,58,58,65,80,90,101,114,129,142,158
홍은동,236,268,288,312,321,345,354,381,401,443,473,533
신촌동,39,39,42,39,38,40,42,50,64,82,104,127
북아현동,210,226,239,194,172,160,168,179,182,197,221,245
미근동,41,42,52,57,65,66,67,70,74,83,98,112
냉천동,40,42,41,40,55,62,66,73,84,89,102,120
대신동,38,39,41,46,51,53,52,54,58,63,72,76
합동,4,5,8,9,9,13,15,15,16,20,21,26
영천동,25,23,25,25,27,29,33,34,36,43,51,55
옥천동,7,11,11,9,10,9,12,13,13,14,14,15
현저동,10,7,5,5,5,7,10,10,10,9,9,9
천연동,11,10,10,10,10,12,13,14,14,18,25,27
봉원동,1,1,1,1,1,1,1,1,2,2,2,2
길음동,222,187,217,253,274,290,298,291,303,329,376,419
삼선동1가,30,20,21,19,22,28,30,33,37,41,46,58
동소문동3가,10,12,13,10,11,11,10,11,11,12,16,19
삼선동4가,28,20,17,26,29,28,28,32,36,46,57,61
장위동,408,356,381,384,428,442,474,490,463,485,506,579
종암동,183,170,180,210,226,240,236,251,284,321,356,424
동선동3가,17,14,17,15,19,19,24,29,33,34,41,49
동소문동2가,35,33,33,37,35,41,46,48,54,64,89,104
동선동1가,106,103,120,137,158,162,189,221,246,287,343,415
정릉동,321,288,323,364,390,415,442,485,529,586,653,745
석관동,223,202,232,242,248,257,266,309,323,344,397,454
삼선동2가,52,50,50,61,59,62,68,77,83,88,103,116
안암동5가,134,136,144,172,195,230,249,299,363,425,474,571
성북동1가,9,9,8,9,17,20,21,22,27,31,45,54
보문동4가,22,14,10,10,12,11,12,15,16,19,23,27
삼선동5가,32,29,34,35,39,39,38,40,47,55,72,89
하월곡동,269,232,264,287,315,334,357,412,457,507,535,602
보문동2가,10,13,15,18,18,18,18,16,22,22,32,37
돈암동,69,52,56,57,54,61,68,69,81,91,110,124
성북동,57,58,64,62,76,91,105,114,137,151,187,228
동소문동5가,37,32,28,35,43,48,49,62,71,73,81,89
동소문동6가,13,15,16,18,18,20,25,30,38,45,40,51
상월곡동,41,35,35,35,43,47,47,53,61,78,90,99
보문동7가,24,22,29,31,32,31,36,41,39,47,57,65
삼선동3가,6,4,5,6,8,8,13,15,14,15,21,22
동선동4가,38,33,31,33,36,36,34,37,43,46,56,68
동선동2가,46,41,35,37,44,48,50,56,63,102,148,184
동소문동7가,12,9,8,9,7,13,15,19,19,23,25,26
보문동5가,14,12,11,14,16,13,16,21,24,26,28,32
동선동5가,14,13,13,12,12,12,17,19,19,28,35,43
안암동4가,12,7,3,5,6,5,4,6,8,9,11,13
보문동6가,6,6,4,5,4,6,5,6,7,11,15,19
동소문동1가,12,13,13,14,18,21,21,23,28,31,38,42
보문동1가,21,21,19,27,28,28,31,32,34,39,41,48
안암동2가,7,5,4,4,8,7,8,8,10,12,14,17
동소문동4가,9,11,13,15,18,21,23,23,25,28,34,46
안암동1가,6,6,7,6,10,10,10,15,14,22,27,35
안암동3가,5,4,4,4,4,3,5,6,8,8,12,14
보문동3가,2,2,3,1,1,1,1,1,1,2,2,2
행당동,271,287,329,358,415,374,457,561,616,748,848,1012
성수동1가,194,198,178,194,215,242,279,330,363,426,568,707
금호동4가,67,62,66,69,69,78,77,90,94,99,116,143
하왕십리동,116,85,71,69,71,80,77,90,97,108,182,235
성수동2가,353,342,349,382,427,471,526,579,661,777,934,1131
용답동,149,149,150,161,167,174,193,224,222,242,271,331
금호동1가,61,52,42,42,46,60,64,69,68,64,67,85
금호동3가,59,58,61,68,73,75,86,85,89,104,120,140
금호동2가,78,59,48,49,53,56,68,74,74,85,97,119
마장동,110,109,123,120,133,143,156,171,165,174,188,201
상왕십리동,70,45,26,22,20,20,7,38,48,53,65,79
옥수동,90,77,67,67,70,80,109,115,117,132,154,172
홍익동,51,47,45,45,49,51,56,66,77,86,95,103
송정동,26,28,32,36,39,49,55,62,67,74,77,87
사근동,14,16,15,13,15,21,27,29,39,50,62,81
응봉동,25,20,25,29,28,30,28,38,40,38,41,46
