법정동코드,법정동명,2018,2018_bin
1114015900,서울특별시 중구 초동,,
1114012400,서울특별시 중구 충무로1가,,
1114012500,서울특별시 중구 충무로2가,55217740.0,1.0
1114015800,서울특별시 중구 충무로3가,,
1114013200,서울특별시 중구 충무로4가,18469750.0,1.0
1114013300,서울특별시 중구 충무로5가,,
1114017000,서울특별시 중구 충정로1가,,
1114010300,서울특별시 중구 태평로1가,,
1114011400,서울특별시 중구 태평로2가,,
1114013700,서울특별시 중구 필동1가,11819390.0,3.0
1114013800,서울특별시 중구 필동2가,12995020.0,2.0
1114013900,서울특별시 중구 필동3가,12825430.0,2.0
1114016500,서울특별시 중구 황학동,8636364.0,3.0
1114012100,서울특별시 중구 회현동1가,6067961.0,4.0
1114012200,서울특별시 중구 회현동2가,,
1114012300,서울특별시 중구 회현동3가,,
1114016300,서울특별시 중구 흥인동,,
1126010500,서울특별시 중랑구 망우동,5287570.0,4.0
1126010100,서울특별시 중랑구 면목동,7601330.0,4.0
1126010400,서울특별시 중랑구 묵동,7142857.0,4.0
1126010200,서울특별시 중랑구 상봉동,8237624.0,4.0
1126010600,서울특별시 중랑구 신내동,,
1126010300,서울특별시 중랑구 중화동,6132419.0,4.0
