,class,area,2012,2013,2014,2015,2016,2017,2018
379,영등포구,영등포동5가,,,,,,,
380,영등포구,영등포동6가,,,,,,,
381,영등포구,영등포동7가,,,,,,,
382,영등포구,영등포동8가,,,,,,,
383,영등포구,여의도동,4825.0,2600.0,2849.0,4186.0,2721.0,2538.0,5839.0
384,영등포구,당산동1가,,,,,,,
385,영등포구,당산동2가,,,,,,,
386,영등포구,당산동3가,,,,,,,
387,영등포구,당산동4가,,,,,,,
388,영등포구,당산동5가,,,,,,,
389,영등포구,당산동6가,,,,,,,
390,영등포구,당산동,729.0,745.0,707.0,662.0,864.0,931.0,807.0
391,영등포구,도림동,237.0,435.0,173.0,245.0,296.0,250.0,196.0
392,영등포구,문래동1가,,423.0,519.0,604.0,514.0,463.0,567.0
393,영등포구,문래동2가,543.0,,500.0,457.0,572.0,640.0,634.0
394,영등포구,문래동3가,777.0,690.0,456.0,571.0,569.0,665.0,791.0
395,영등포구,문래동4가,530.0,483.0,485.0,539.0,559.0,589.0,694.0
396,영등포구,문래동5가,1150.0,,511.0,1219.0,586.0,,
397,영등포구,문래동6가,,,,1410.0,,655.0,
398,영등포구,양평동1가,,,,,,,
399,영등포구,양평동2가,,,,,,,
400,영등포구,양평동3가,,,,,,,
401,영등포구,양평동4가,,,,,,,
402,영등포구,양평동5가,,,,,,,
